name,lat,lon,population
Abant İzzet Baysal University,40.7137,31.5115,10
Adnan Menderes University,37.8535,27.8545,4
Afyon Kocatepe University,38.8116,30.5344,2
Anadolu University,39.7913,30.4992,11
Ankara University,39.9385,32.8265,21
Atatürk University,39.9013,41.2482,7
Atılım Univeristy,39.8157,32.7239,1
Istanbul Aydın University,40.9917,28.7976,1
Balıkesir University,39.5424,28.0084,1
Bilkent University,39.8746,32.7476,4
Bursa Orhangazi University,40.187,29.1309,5
Çanakkale Onsekiz Mart University,40.1119,26.416,3
Çukurova University,37.0597,35.3554,10
Cumhuriyet University,39.7089,37.0289,1
Dokuz Eylül University,38.4307,27.1369,10
Ege University,38.4559,27.2289,10
Erciyes University,38.7073,35.5302,38
Eskişehir Osmangazi University,39.7517,30.49,3
Gazi Univeristy,39.942,32.823,26
Gebze Technical University,40.8091,29.365,3
Hacettepe University,39.8669,32.7338,32
İnonü University,38.4634,38.3565,7
İstanbul Sabahattin Zaim University,41.0331,28.7891,2
İstanbul Şehir University,40.9016,29.1552,5
İstanbul Technical University,41.1056,29.0253,43
İstanbul University,41.0078,28.9583,41
İzmir İnstitute of Technology,38.3191,26.6432,10
Kadir Has University,41.0247,28.9591,1
Karadeniz Technical University,40.9887,39.7677,27
Kastamonu University,41.3759,33.7776,1
Kocaeli University,40.8223,29.9217,13
Marmara University,40.987,29.0528,39
Middle East Technical University,39.8956,32.7778,63
Mustafa Gemirli ?mam Hatip Lisesi,39.8956,32.7779,10
Necmettin Erbakan University,37.8787,32.4844,5
Ondokuz Mayıs University,37.8787,32.4844,19
Pamukkale University,41.3673,36.1984,6
Sakarya University,37.7408,29.1043,24
Selcuk University,40.742,30.3327,20
Süleyman Demirel University,38.0295,32.5061,4
Trakya University,41.6413,26.6156,2
Türgüt Ozal University,39.9296,32.8163,1
Uluda? University,40.2248,28.8781,36
Yalova University,40.6519,29.2202,1
Yıldırım Beyazit University,39.9469,32.856,5
Yıldız Technical Univeristy,41.0521,29.0107,13
Boğazici University,41.0848,29.051,5
Celal Bayar University,38.6119,27.3789,2
B�lent Ecevit University,41.2643,31.4814,1
Feza Berk Koleji,41.2681,36.3126,1
Melikşah University,38.7118,35.5518,1
Mevlana Uluslararasi Imam Hatip Lisesi,37.9661,32.4792,10
Kırıkkale University,39.8489,33.4523,1
İpek University,39.8569,32.8458,2
İstanbul Medeniyet University,40.9953,29.0645,3
İstanbul 29 Mayıs University,41.0253,29.0397,1
İstanbul Kültür University,40.9928,28.829,1
İstanbul Ticaret University,41.0581,28.9511,1
Gediz University,38.4921,27.054,3
Fatih Sultan Mehmet University,41.0162,28.9531,5
Fatih University,41.0908,28.6245,20
Süleyman Şah University,40.9272,29.3466,4
